Feature,Free,Plus,Pro
Asset Space,100 MB,3 GB,6 GB
Ad-Free,:material-close:,:material-check:,:material-check:
Dynamic Lighting,:material-close:,:material-check:,:material-check:
Custom Character Sheets,:material-close:,:material-close:,:material-check:
API Access,:material-close:,:material-close:,:material-check:
Dev Server,:material-close:,:material-close:,:material-check:
Character Vault ,:material-close:,:material-close:,:material-check:
**YEARLY COST**,**$0**,**$50**,**$100**
