Feature,Self-Hosted,Partner Hosted,Cloud Hosted
Software License,$50,$50,$50
Monthly Hosting,:material-close:,$4-12,$10-20
Game Access,While GM is running app,Cost Variable,At all times
Setup Difficulty,Med,Low,High
Security Risk,Med,Low,Low
**1st YEAR COST**,**$50**,**$98-194**,**$170-290**
