Name,Tier,Repeatable,Glyph /Exclusive,Other Tags
4-03 Linnorn’s Legacy,5-8,No, ,"Grand Archive, Verdant Wheel"
4-04 To Seek the Heart of Calamity,3-6,No,  ,"Metaplot (Boundless Wonder), Grand Archive, Vigilant Seal"
4-05 The Arclord Who never Was,1-4,No, ,"Metaplot (Boundless Wonder), Envoy's Alliance, Vigilant Seal"
4-06 Signal from the Electric Laboratory,7-10,No,   ,"Metaplot (Boundless Wonder), Horizon Hunters, Radiant Oath"
4-07 A Most Wondrous Exchange!,5-8,Yes, ,  
4-08 Battle for Star's Fate,3-6,No,  ,"Metaplot (Boundless Wonder), Vigilant Seal"
4-09 Killer in the Golden Mask,5-8,No, ,Envoy's Alliance
4-10 Arclord's Abode,1-4,No, ,"Metaplot (Boundless Wonder), Envoy's Alliance, Vigilant Seal"
4-11 prisoners of the Electric Castle,7-10,No,  ,"Metaplot (Boundless Wonder), Horizon Hunters"
4-12 Negotiations for the Star Gun,1-4,No,   ,Metaplot (Boundless Wonder)
4-13 Within the Praries,1-4,No, ,"Metaplot (Boundless Wonder), Envoy's Alliance, Verdant Wheel"
4-14 Shattering Golden Chains,3-6,No,   ,Envoy's Alliance
4-15 In Glorious Battle,9-12,No,Glyph,  
4-16 Dacilane Academy's First Great Prank War,9-12,No, ,  
4-17 Trapping the Hag’s Claw,7-10,No,Metaplot (Boundless Wonder),  
