Feature,Self-Hosted,Partner Hosted,Cloud Hosted
Software License,$50.00,$50.00,$50.00
Monthly Hosting,:material-close:,$4-12,$0-20
Game Access,While GM is running app,Cost Variable,At all times
Setup Difficulty,Med,Low,High
Security Risk,Med,Low,Low
**1st YEAR COST**,**$50**,**$98-194**,**$50-290**
